Datetime,HourMin,Tot,T5,T10,T15,T20,T25,T30,T35,T40,T45,T50,T55,T60,Rest
2013-08-19 00:00:00,00:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 00:30:00,00:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 01:00:00,01:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 01:30:00,01:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 02:00:00,02:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 02:30:00,02:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 03:00:00,03:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 03:30:00,03:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 04:00:00,04:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 04:30:00,04:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 05:00:00,05:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 05:30:00,05:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 06:00:00,06:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 06:30:00,06:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 07:00:00,07:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 07:30:00,07:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 08:00:00,08:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 08:30:00,08:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 09:00:00,09:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 09:30:00,09:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 10:00:00,10:00, 1, 1,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 10:30:00,10:30, 8, 0,0,0,1,0,4,2,0,0,0,1,0,0
2013-08-19 11:00:00,11:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 11:30:00,11:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 12:00:00,12:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 12:30:00,12:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 13:00:00,13:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 13:30:00,13:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 14:00:00,14:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 14:30:00,14:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 15:00:00,15:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 15:30:00,15:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 16:00:00,16:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 16:30:00,16:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 17:00:00,17:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 17:30:00,17:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 18:00:00,18:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 18:30:00,18:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 19:00:00,19:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 19:30:00,19:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 20:00:00,20:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 20:30:00,20:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 21:00:00,21:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 21:30:00,21:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 22:00:00,22:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 22:30:00,22:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 23:00:00,23:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-19 23:30:00,23:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20 00:00:00,00:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20 00:30:00,00:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20 01:00:00,01:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20 01:30:00,01:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20 02:00:00,02:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20 02:30:00,02:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20 03:00:00,03:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20 03:30:00,03:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20 04:00:00,04:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20 04:30:00,04:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20 05:00:00,05:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20 05:30:00,05:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20 06:00:00,06:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20 06:30:00,06:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20 07:00:00,07:00, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
2013-08-20 07:30:00,07:30, 0, 0,0,0,0,0,0,0,0,0,0,0,0,0
