Datetime,Dow,Hour,Tot,T5,T10,T15,T20,T25,T30,T35,T40,T45,T50,T55,T60,Rest
8/19/2013 0:00,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 0:05,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 0:10,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 0:15,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 0:20,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 0:25,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 0:30,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 0:35,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 0:40,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 0:45,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 0:50,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 0:55,Mon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 1:00,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 1:05,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 1:10,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 1:15,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 1:20,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 1:25,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 1:30,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 1:35,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 1:40,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 1:45,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 1:50,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 1:55,Mon,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 2:00,Mon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 2:05,Mon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 2:10,Mon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 2:15,Mon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 2:20,Mon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 2:25,Mon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 2:30,Mon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 2:35,Mon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 2:40,Mon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 2:45,Mon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 2:50,Mon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 2:55,Mon,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 3:00,Mon,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 3:05,Mon,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 3:10,Mon,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 3:15,Mon,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 3:20,Mon,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 3:25,Mon,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 3:30,Mon,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 3:35,Mon,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 3:40,Mon,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 3:45,Mon,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 3:50,Mon,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 3:55,Mon,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 4:00,Mon,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 4:05,Mon,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 4:10,Mon,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 4:15,Mon,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 4:20,Mon,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 4:25,Mon,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 4:30,Mon,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 4:35,Mon,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 4:40,Mon,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 4:45,Mon,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 4:50,Mon,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 4:55,Mon,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/19/2013 5:00,Mon,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
