@relation adjacency_clustered

@attribute Instance_number numeric
@attribute id {166-140,166-427-2,166-382,166-457,166-152-8,166-538,166-156,166-152-16,166-573,166-125,166-575,166-152-18,166-262,166-152-7,166-578,166-152-14,166-152-15,166-144-9,166-475,166-102,166-152-11,166-185,166-223,166-323,166-144-15,166-307,166-144-17,166-363,166-144-11,166-246,166-208,166-280,166-152-10,166-587,166-589,166-411,166-152-17,166-489,166-311,166-179,166-385A,166-325,166-483,166-457C,166-152-12,166-152-9,166-262-o2,166-262-o1,166-423,166-131,166-278,166-272,166-429,166-226-o2,166-205F,166-226-o1,166-333,166-373,166-234,166-448,166-152-13,166-144-7,166-427,166-144-12,166-572,166-282,166-305,166-144-14,166-215C,166-341,166-205,166-226-o3}
@attribute 166-140 numeric
@attribute 166-427-2 numeric
@attribute 166-382 numeric
@attribute 166-457 numeric
@attribute 166-152-8 numeric
@attribute 166-538 numeric
@attribute 166-156 numeric
@attribute 166-152-16 numeric
@attribute 166-573 numeric
@attribute 166-125 numeric
@attribute 166-575 numeric
@attribute 166-152-18 numeric
@attribute 166-262 numeric
@attribute 166-152-7 numeric
@attribute 166-578 numeric
@attribute 166-152-14 numeric
@attribute 166-152-15 numeric
@attribute 166-144-9 numeric
@attribute 166-475 numeric
@attribute 166-102 numeric
@attribute 166-152-11 numeric
@attribute 166-185 numeric
@attribute 166-223 numeric
@attribute 166-323 numeric
@attribute 166-144-15 numeric
@attribute 166-307 numeric
@attribute 166-144-17 numeric
@attribute 166-363 numeric
@attribute 166-144-11 numeric
@attribute 166-246 numeric
@attribute 166-208 numeric
@attribute 166-280 numeric
@attribute 166-152-10 numeric
@attribute 166-587 numeric
@attribute 166-589 numeric
@attribute 166-411 numeric
@attribute 166-152-17 numeric
@attribute 166-489 numeric
@attribute 166-311 numeric
@attribute 166-179 numeric
@attribute 166-385A numeric
@attribute 166-325 numeric
@attribute 166-483 numeric
@attribute 166-457C numeric
@attribute 166-152-12 numeric
@attribute 166-152-9 numeric
@attribute 166-262-o2 numeric
@attribute 166-262-o1 numeric
@attribute 166-423 numeric
@attribute 166-131 numeric
@attribute 166-278 numeric
@attribute 166-272 numeric
@attribute 166-429 numeric
@attribute 166-226-o2 numeric
@attribute 166-205F numeric
@attribute 166-226-o1 numeric
@attribute 166-333 numeric
@attribute 166-373 numeric
@attribute 166-234 numeric
@attribute 166-448 numeric
@attribute 166-152-13 numeric
@attribute 166-144-7 numeric
@attribute 166-427 numeric
@attribute 166-144-12 numeric
@attribute 166-572 numeric
@attribute 166-282 numeric
@attribute 166-305 numeric
@attribute 166-144-14 numeric
@attribute 166-215C numeric
@attribute 166-341 numeric
@attribute 166-205 numeric
@attribute 166-226-o3 numeric
@attribute Cluster {cluster0,cluster1,cluster2}

@data
0,166-140,2864,60,18,21,0,24,587,7,1,54,5,16,48,0,0,14,2,102,4,674,0,186,161,3,19,7,55,30,26,120,44,19,1,1,8,29,5,41,5,2,35,23,7,8,1,0,280,812,37,626,13,7,26,38,9,58,98,3,1208,25,3,4,6,52,0,76,47,150,3,88,99,43,cluster1
1,166-427-2,36,11810,6,112,1,141,18,0,2,8,25,0,2,0,5,2,0,2,20,33,0,33,104,14,0,56,3,10,0,10,40,5,0,13,167,207,0,212,21,2,50,171,21,23,1,0,46,33,478,31,4,6,1005,85,2,50,329,5,255,510,0,1,467,5,16,75,79,1,4,54,129,70,cluster2
2,166-382,28,8,3553,198,0,8,37,0,2,8,25,1,78,0,10,2,0,2,69,8,0,1,15,4,0,6,0,129,1,104,2,76,0,1,1,1,0,13,13,1,200,11,37,27,1,0,22,22,8,5,48,28,12,7,9,10,26,164,19,45,0,1,4,2,11,20,47,1,0,88,7,12,cluster1
3,166-457,51,129,204,6152,0,19,51,0,34,2,85,1,67,0,11,1,0,5,262,3,0,6,8,1,1,7,2,73,0,114,0,18,0,1,9,14,0,25,6,1,14,11,36,351,0,0,25,17,90,6,49,11,56,4,1,9,24,18,24,325,0,0,32,1,86,28,6,1,1,114,4,11,cluster1
4,166-152-8,0,0,2,1,2478,0,2,1,0,0,0,0,7,0,0,635,0,2,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,2,0,0,0,0,4,0,0,1,0,0,2,0,0,7,0,0,1,0,0,1,4,0,1,1,0,cluster2
5,166-538,11,161,4,19,0,1296,8,0,27,6,149,0,0,0,31,1,0,2,8,30,0,64,42,18,0,13,0,5,0,6,42,0,0,62,99,86,0,164,23,2,8,30,38,0,0,0,24,18,89,19,1,1,121,21,0,14,134,0,87,81,0,0,97,1,25,14,59,0,2,7,85,39,cluster2
6,166-156,1258,20,27,37,0,8,2599,2,0,10,2,28,186,1,0,12,0,38,5,89,0,32,44,2,3,4,32,67,3,132,16,8,0,0,3,7,9,16,6,4,53,10,0,3,0,0,291,1139,11,160,29,80,9,11,1,39,25,11,500,6,3,2,1,8,1,56,5,38,3,197,30,20,cluster1
7,166-152-16,6,0,0,0,0,0,4,2327,0,0,0,0,0,311,0,1,2,17,0,0,0,1,0,0,0,0,12,0,0,5,0,0,0,0,0,1,1,1,0,2,0,0,0,2,1,0,1,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,16,0,0,0,12,0,2,0,0,cluster2
8,166-573,1,2,2,22,0,16,2,0,1840,0,169,0,2,0,17,0,0,1,107,2,0,1,0,0,0,3,0,6,0,1,1,0,0,9,10,2,0,3,0,1,1,1,3,7,0,0,2,4,1,0,2,1,2,1,1,0,1,16,2,3,0,0,0,1,141,1,0,0,0,1,3,0,cluster2
9,166-125,44,12,14,3,1,6,3,0,3,3261,2,0,2,0,0,0,0,1,1,159,0,75,341,38,0,1,1,1,1,5,55,5,0,0,2,3,0,2,3,0,28,56,1,0,0,0,16,12,8,170,3,1,4,11,0,11,31,0,67,8,0,0,4,1,0,7,13,0,0,11,22,34,cluster0
