@relation adjacencyProb_clustered

@attribute Instance_number numeric
@attribute id {166-140,166-427-2,166-382,166-457,166-152-8,166-538,166-156,166-152-16,166-573,166-125,166-575,166-152-18,166-262,166-152-7,166-578,166-152-14,166-152-15,166-144-9,166-475,166-102,166-152-11,166-185,166-223,166-323,166-144-15,166-307,166-144-17,166-363,166-144-11,166-246,166-208,166-280,166-152-10,166-587,166-589,166-411,166-152-17,166-489,166-311,166-179,166-385A,166-325,166-483,166-457C,166-152-12,166-152-9,166-262-o2,166-262-o1,166-423,166-131,166-278,166-272,166-429,166-226-o2,166-205F,166-226-o1,166-333,166-373,166-234,166-448,166-152-13,166-144-7,166-427,166-144-12,166-572,166-282,166-305,166-144-14,166-215C,166-341,166-205,166-226-o3}
@attribute 166-140 numeric
@attribute 166-427-2 numeric
@attribute 166-382 numeric
@attribute 166-457 numeric
@attribute 166-152-8 numeric
@attribute 166-538 numeric
@attribute 166-156 numeric
@attribute 166-152-16 numeric
@attribute 166-573 numeric
@attribute 166-125 numeric
@attribute 166-575 numeric
@attribute 166-152-18 numeric
@attribute 166-262 numeric
@attribute 166-152-7 numeric
@attribute 166-578 numeric
@attribute 166-152-14 numeric
@attribute 166-152-15 numeric
@attribute 166-144-9 numeric
@attribute 166-475 numeric
@attribute 166-102 numeric
@attribute 166-152-11 numeric
@attribute 166-185 numeric
@attribute 166-223 numeric
@attribute 166-323 numeric
@attribute 166-144-15 numeric
@attribute 166-307 numeric
@attribute 166-144-17 numeric
@attribute 166-363 numeric
@attribute 166-144-11 numeric
@attribute 166-246 numeric
@attribute 166-208 numeric
@attribute 166-280 numeric
@attribute 166-152-10 numeric
@attribute 166-587 numeric
@attribute 166-589 numeric
@attribute 166-411 numeric
@attribute 166-152-17 numeric
@attribute 166-489 numeric
@attribute 166-311 numeric
@attribute 166-179 numeric
@attribute 166-385A numeric
@attribute 166-325 numeric
@attribute 166-483 numeric
@attribute 166-457C numeric
@attribute 166-152-12 numeric
@attribute 166-152-9 numeric
@attribute 166-262-o2 numeric
@attribute 166-262-o1 numeric
@attribute 166-423 numeric
@attribute 166-131 numeric
@attribute 166-278 numeric
@attribute 166-272 numeric
@attribute 166-429 numeric
@attribute 166-226-o2 numeric
@attribute 166-205F numeric
@attribute 166-226-o1 numeric
@attribute 166-333 numeric
@attribute 166-373 numeric
@attribute 166-234 numeric
@attribute 166-448 numeric
@attribute 166-152-13 numeric
@attribute 166-144-7 numeric
@attribute 166-427 numeric
@attribute 166-144-12 numeric
@attribute 166-572 numeric
@attribute 166-282 numeric
@attribute 166-305 numeric
@attribute 166-144-14 numeric
@attribute 166-215C numeric
@attribute 166-341 numeric
@attribute 166-205 numeric
@attribute 166-226-o3 numeric
@attribute Cluster {cluster0,cluster1}

@data
0,166-140,0.313074,0.006559,0.001968,0.002296,0,0.002624,0.064167,0.000765,0.000109,0.005903,0.000547,0.001749,0.005247,0,0,0.00153,0.000219,0.01115,0.000437,0.073677,0,0.020332,0.017599,0.000328,0.002077,0.000765,0.006012,0.003279,0.002842,0.013118,0.00481,0.002077,0.000109,0.000109,0.000875,0.00317,0.000547,0.004482,0.000547,0.000219,0.003826,0.002514,0.000765,0.000875,0.000109,0,0.030608,0.088763,0.004045,0.06843,0.001421,0.000765,0.002842,0.004154,0.000984,0.00634,0.010713,0.000328,0.132051,0.002733,0.000328,0.000437,0.000656,0.005684,0,0.008308,0.005138,0.016397,0.000328,0.00962,0.010822,0.0047,cluster1
1,166-427-2,0.002102,0.689595,0.00035,0.00654,0.000058,0.008233,0.001051,0,0.000117,0.000467,0.00146,0,0.000117,0,0.000292,0.000117,0,0.000117,0.001168,0.001927,0,0.001927,0.006073,0.000817,0,0.00327,0.000175,0.000584,0,0.000584,0.002336,0.000292,0,0.000759,0.009751,0.012087,0,0.012379,0.001226,0.000117,0.00292,0.009985,0.001226,0.001343,0.000058,0,0.002686,0.001927,0.027911,0.00181,0.000234,0.00035,0.058683,0.004963,0.000117,0.00292,0.019211,0.000292,0.01489,0.029779,0,0.000058,0.027268,0.000292,0.000934,0.004379,0.004613,0.000058,0.000234,0.003153,0.007532,0.004087,cluster1
2,166-382,0.005284,0.00151,0.670504,0.037366,0,0.00151,0.006982,0,0.000377,0.00151,0.004718,0.000189,0.01472,0,0.001887,0.000377,0,0.000377,0.013021,0.00151,0,0.000189,0.002831,0.000755,0,0.001132,0,0.024344,0.000189,0.019626,0.000377,0.014342,0,0.000189,0.000189,0.000189,0,0.002453,0.002453,0.000189,0.037743,0.002076,0.006982,0.005095,0.000189,0,0.004152,0.004152,0.00151,0.000944,0.009058,0.005284,0.002265,0.001321,0.001698,0.001887,0.004907,0.030949,0.003586,0.008492,0,0.000189,0.000755,0.000377,0.002076,0.003774,0.00887,0.000189,0,0.016607,0.001321,0.002265,cluster0
3,166-457,0.00585,0.014797,0.0234,0.705666,0,0.002179,0.00585,0,0.0039,0.000229,0.00975,0.000115,0.007685,0,0.001262,0.000115,0,0.000574,0.030053,0.000344,0,0.000688,0.000918,0.000115,0.000115,0.000803,0.000229,0.008373,0,0.013076,0,0.002065,0,0.000115,0.001032,0.001606,0,0.002868,0.000688,0.000115,0.001606,0.001262,0.004129,0.040262,0,0,0.002868,0.00195,0.010323,0.000688,0.005621,0.001262,0.006423,0.000459,0.000115,0.001032,0.002753,0.002065,0.002753,0.037279,0,0,0.003671,0.000115,0.009865,0.003212,0.000688,0.000115,0.000115,0.013076,0.000459,0.001262,cluster1
4,166-152-8,0,0,0.000633,0.000316,0.784177,0,0.000633,0.000316,0,0,0,0,0.002215,0,0,0.200949,0,0.000633,0.000316,0,0,0.000316,0,0,0,0,0.000316,0,0,0.000316,0,0,0.000316,0,0,0,0,0,0.000316,0,0,0,0.000316,0,0.000316,0,0.000633,0,0,0,0,0.001266,0,0,0.000316,0,0,0.000633,0,0,0.002215,0,0,0.000316,0,0,0.000316,0.001266,0,0.000316,0.000316,0,cluster0
5,166-538,0.003241,0.047437,0.001179,0.005598,0,0.38185,0.002357,0,0.007955,0.001768,0.043901,0,0,0,0.009134,0.000295,0,0.000589,0.002357,0.008839,0,0.018857,0.012375,0.005303,0,0.00383,0,0.001473,0,0.001768,0.012375,0,0,0.018268,0.029169,0.025339,0,0.048321,0.006777,0.000589,0.002357,0.008839,0.011196,0,0,0,0.007071,0.005303,0.026223,0.005598,0.000295,0.000295,0.035651,0.006187,0,0.004125,0.039481,0,0.025633,0.023866,0,0,0.02858,0.000295,0.007366,0.004125,0.017384,0,0.000589,0.002062,0.025044,0.011491,cluster1
6,166-156,0.168814,0.002684,0.003623,0.004965,0,0.001074,0.348765,0.000268,0,0.001342,0.000268,0.003757,0.02496,0.000134,0,0.00161,0,0.005099,0.000671,0.011943,0,0.004294,0.005904,0.000268,0.000403,0.000537,0.004294,0.008991,0.000403,0.017713,0.002147,0.001074,0,0,0.000403,0.000939,0.001208,0.002147,0.000805,0.000537,0.007112,0.001342,0,0.000403,0,0,0.03905,0.152845,0.001476,0.021471,0.003892,0.010735,0.001208,0.001476,0.000134,0.005233,0.003355,0.001476,0.067096,0.000805,0.000403,0.000268,0.000134,0.001074,0.000134,0.007515,0.000671,0.005099,0.000403,0.026436,0.004026,0.002684,cluster1
7,166-152-16,0.002199,0,0,0,0,0,0.001466,0.852693,0,0,0,0,0,0.113961,0,0.000366,0.000733,0.006229,0,0,0,0.000366,0,0,0,0,0.004397,0,0,0.001832,0,0,0,0,0,0.000366,0.000366,0.000366,0,0.000733,0,0,0,0.000733,0.000366,0,0.000366,0.000366,0,0.000366,0,0.000366,0,0,0,0,0,0,0.000366,0,0,0,0,0.005863,0,0,0,0.004397,0,0.000733,0,0,cluster0
8,166-573,0.000414,0.000828,0.000828,0.00911,0,0.006625,0.000828,0,0.761905,0,0.069979,0,0.000828,0,0.007039,0,0,0.000414,0.044306,0.000828,0,0.000414,0,0,0,0.001242,0,0.002484,0,0.000414,0.000414,0,0,0.003727,0.004141,0.000828,0,0.001242,0,0.000414,0.000414,0.000414,0.001242,0.002899,0,0,0.000828,0.001656,0.000414,0,0.000828,0.000414,0.000828,0.000414,0.000414,0,0.000414,0.006625,0.000828,0.001242,0,0,0,0.000414,0.058385,0.000414,0,0,0,0.000414,0.001242,0,cluster0
9,166-125,0.009641,0.002629,0.003067,0.000657,0.000219,0.001315,0.000657,0,0.000657,0.714505,0.000438,0,0.000438,0,0,0,0,0.000219,0.000219,0.034838,0,0.016433,0.074715,0.008326,0,0.000219,0.000219,0.000219,0.000219,0.001096,0.012051,0.001096,0,0,0.000438,0.000657,0,0.000438,0.000657,0,0.006135,0.01227,0.000219,0,0,0,0.003506,0.002629,0.001753,0.037248,0.000657,0.000219,0.000876,0.00241,0,0.00241,0.006792,0,0.01468,0.001753,0,0,0.000876,0.000219,0,0.001534,0.002848,0,0,0.00241,0.00482,0.00745,cluster0
